study,design_point_id,workload,scenario_id,tasks_per_run,billing_period_tasks,efficiency_rank_within_design_point,accepted_task_fraction,external_quality_score,policy_violation_fraction,provider_cost_usd_per_task,marginal_cash_cost_usd_per_task,allocated_cash_cost_usd_per_task,economic_loss_usd_per_task,normalized_provider_cost,normalized_cost_per_verified_work,wall_seconds_per_task,normalized_wall_time,human_minutes_per_task,uncached_input_tokens_per_task,cache_read_tokens_per_task,cache_write_tokens_per_task,output_tokens_per_task,tool_schema_tokens_per_task,tool_result_tokens_per_task,model_calls_per_task,tool_calls_per_task,retries_per_task,compactions_per_task,cache_hit_fraction,budget_exhausted_fraction
controlled-harness,challenge-long-context-threshold,long-context-threshold,pi-cli-copilot-route,4,300,1,0.0,0.1318104080373101,0.00125,25.164375816926608,25.072859983593276,25.202859983593275,243.5720504157239,25.164375816926608,19.48576403325791,2777.701365218457,3.857918562803412,28.4319489112666,8673476.981657706,192705.45,109657.4625,53787.85680317615,142223.4025,178131.30452367698,49.39,70.90875,22.21375,3.305,0.02148143760615267,1.0
controlled-harness,challenge-long-context-threshold,long-context-threshold,pi-cli-openai-api,4,300,2,0.0,0.1318104080373101,0.00125,25.164375816926608,25.30619331692661,25.30619331692661,243.67538374905723,25.164375816926608,19.494030699924576,2777.701365218457,3.857918562803412,28.4319489112666,8673476.981657706,192705.45,109657.4625,53787.85680317615,142223.4025,178131.30452367698,49.39,70.90875,22.21375,3.305,0.02148143760615267,0.0
controlled-harness,challenge-lossy-compaction,lossy-compaction,copilot-cli-copilot-route,4,300,3,0.0,0.0013538012986876668,0.0025,25.307262203249206,25.31237136991587,25.44237136991587,246.0491057055041,25.307262203249206,19.68392845644033,2891.0185540431285,4.015303547282123,28.979334940032768,8607796.832872696,278209.75,163586.5,62016.68498325021,203251.32,205933.94431140984,50.00125,119.22125,70.04,3.99625,0.030735231491244876,1.0
controlled-harness,challenge-lossy-compaction,lossy-compaction,pi-cli-copilot-route,4,300,1,0.0,0.1166170643500561,0.0025,25.26108058772575,25.170969754392416,25.300969754392412,244.5582333339381,25.26108058772575,19.564658666715044,2802.1048935597205,3.8918123521662777,28.820634940032768,8655961.298636949,190221.7875,111371.775,60996.68498325021,143712.475,179628.840259004,49.91125,71.61125,22.425,3.91125,0.02122818122242576,1.0
controlled-harness,challenge-lossy-compaction,lossy-compaction,pi-cli-openai-api,4,300,2,0.0,0.1166170643500561,0.0025,25.26108058772575,25.40430308772575,25.40430308772575,244.6615666672714,25.26108058772575,19.572925333381715,2802.1048935597205,3.8918123521662777,28.820634940032768,8655961.298636949,190221.7875,111371.775,60996.68498325021,143712.475,179628.840259004,49.91125,71.61125,22.425,3.91125,0.02122818122242576,0.0
controlled-harness,challenge-pi-favoring-minimal-loop,pi-favoring-minimal-loop,copilot-cli-copilot-route,4,300,1,0.445,0.5972089239700668,0.0,0.3098896623148157,0.10077763019192103,0.23077763019192105,35.241298308911375,0.3098896623148157,1.1475996628722027,716.0427769632311,7.956030855147012,11.313358396182673,131394.66988991588,24693.825,8120.8375,1821.6219820819936,959.0125,5000.5314712460795,5.65875,11.89125,7.0125,0.0,0.15121923559493888,0.35375
controlled-harness,challenge-pi-favoring-minimal-loop,pi-favoring-minimal-loop,pi-cli-copilot-route,4,300,2,0.42,0.5878239438576552,0.0,0.30491267976057873,0.09622175972240057,0.22622175972240058,36.66901192266344,0.30491267976057873,1.2618549390381477,740.6256311523906,8.229173679471007,11.763766729516005,133020.1386127974,16644.225,5473.6375,1821.6219820819936,959.0125,5760.525498533288,5.65875,12.01375,7.135,0.0,0.10797002444565224,0.34375
controlled-harness,challenge-pi-favoring-minimal-loop,pi-favoring-minimal-loop,pi-cli-openai-api,4,300,3,0.42,0.5878239438576552,0.0,0.30491267976057873,0.32894017976057877,0.32894017976057877,36.77173034270162,0.30491267976057873,1.2646866066027658,740.6256311523906,8.229173679471007,11.763766729516005,133020.1386127974,16644.225,5473.6375,1821.6219820819936,959.0125,5760.525498533288,5.65875,12.01375,7.135,0.0,0.10797002444565224,0.0
controlled-harness,challenge-tool-registry-sprawl,tool-registry-sprawl,copilot-cli-copilot-route,4,300,3,0.0,0.003818532562625673,0.0,13.513716552045814,13.507693218712483,13.637693218712482,188.87955291366492,13.513716552045814,15.110364233093192,2237.788279881632,5.3280673330515045,25.013004130954684,4497223.086742512,293602.1625,446083.8,18612.59227070386,613205.9375,176057.11055897447,28.96875,113.655,76.33,0.9825,0.05606706488894138,1.0
controlled-harness,challenge-tool-registry-sprawl,tool-registry-sprawl,pi-cli-copilot-route,4,300,1,0.0,0.003790647895867112,0.0,13.16746089645115,13.161437563117818,13.29143756311782,188.0665356873485,13.16746089645115,15.04532285498788,2200.4473542238934,5.239160367199747,25.013004130954684,4574229.515932115,204413.65,310102.8,18717.59227070386,431842.84,201947.9457019424,28.97875,113.655,76.33125,0.99125,0.04018148978062931,1.0
