study,design_point_id,workload,scenario_id,accepted_task_fraction,provider_cost_usd_per_task,wall_seconds_per_task,pareto_frontier,dominated_by_count,dominated_by_scenarios,dominates_count,dominates_scenarios
usage-policy,primary-pi-cli-external-integration,external-integration,resource-unaware-frontier,0.0,37.13689297190468,2555.2646053603357,False,2,resource-aware-frontier;resource-aware-phase-routing,0,
usage-policy,primary-pi-cli-localized-bug,localized-bug,resource-aware-frontier,0.96625,0.4225266633808097,169.29227009999383,True,0,,1,resource-aware-phase-routing
usage-policy,primary-pi-cli-localized-bug,localized-bug,resource-aware-phase-routing,0.9625,0.4738117340925501,174.30868900347352,False,1,resource-aware-frontier,0,
usage-policy,primary-pi-cli-localized-bug,localized-bug,resource-unaware-frontier,0.9975,1.0088104228696537,157.77257020256909,True,0,,0,
usage-policy,primary-pi-cli-long-session,long-session,resource-aware-frontier,0.0,21.62567772169237,2754.851841319035,False,1,resource-aware-phase-routing,1,resource-unaware-frontier
usage-policy,primary-pi-cli-long-session,long-session,resource-aware-phase-routing,0.0,19.072828580795825,2733.1955477896026,True,0,,2,resource-aware-frontier;resource-unaware-frontier
usage-policy,primary-pi-cli-long-session,long-session,resource-unaware-frontier,0.0,63.40972090546343,3503.5335257677943,False,2,resource-aware-frontier;resource-aware-phase-routing,0,
usage-policy,primary-pi-cli-multi-file-feature,multi-file-feature,resource-aware-frontier,0.35,6.775903053826673,1328.7202937631923,True,0,,2,resource-aware-phase-routing;resource-unaware-frontier
usage-policy,primary-pi-cli-multi-file-feature,multi-file-feature,resource-aware-phase-routing,0.3375,7.112633744855535,1349.8765502788874,False,1,resource-aware-frontier,1,resource-unaware-frontier
usage-policy,primary-pi-cli-multi-file-feature,multi-file-feature,resource-unaware-frontier,0.03,16.404347064022776,1942.01370338492,False,2,resource-aware-frontier;resource-aware-phase-routing,0,
usage-policy,primary-pi-cli-parallel-analysis,parallel-analysis,resource-aware-frontier,0.37375,6.391767492516773,1255.5294732101324,True,0,,2,resource-aware-phase-routing;resource-unaware-frontier
usage-policy,primary-pi-cli-parallel-analysis,parallel-analysis,resource-aware-phase-routing,0.355,6.788851433811898,1283.9079041834887,False,1,resource-aware-frontier,1,resource-unaware-frontier
usage-policy,primary-pi-cli-parallel-analysis,parallel-analysis,resource-unaware-frontier,0.0175,19.012202383722755,1902.6594984736137,False,2,resource-aware-frontier;resource-aware-phase-routing,0,
usage-policy,primary-pi-cli-repository-refactor,repository-refactor,resource-aware-frontier,0.0125,14.601057804971742,2022.055203983764,True,0,,1,resource-unaware-frontier
usage-policy,primary-pi-cli-repository-refactor,repository-refactor,resource-aware-phase-routing,0.01,13.352565356034338,2014.670996586371,True,0,,1,resource-unaware-frontier
usage-policy,primary-pi-cli-repository-refactor,repository-refactor,resource-unaware-frontier,0.00125,44.026981249372504,2560.32323394153,False,2,resource-aware-frontier;resource-aware-phase-routing,0,
usage-policy,primary-pi-cli-test-debug,test-debug,resource-aware-frontier,0.1175,1.3206873557947076,1173.1543296546454,True,0,,1,resource-aware-phase-routing
usage-policy,primary-pi-cli-test-debug,test-debug,resource-aware-phase-routing,0.1125,1.435838079781416,1181.0182121911591,False,1,resource-aware-frontier,0,
usage-policy,primary-pi-cli-test-debug,test-debug,resource-unaware-frontier,0.89375,3.0294657712753588,385.2397237520337,True,0,,0,
