study,design_group,scenario_id,outcome_name,n,mean,stddev,mcse,min,p05,median,p95,max
controlled-harness,challenge,copilot-cli-copilot-route,normalized_cost_per_verified_work,1600,12.965915014895723,7.5643918095090275,0.1891097952377257,0.0022265139962910274,0.03482039222865076,14.917542509677771,20.86821764432434,22.682348485675547
controlled-harness,challenge,copilot-cli-copilot-route,normalized_provider_cost,1600,13.495025328438915,8.817868897503246,0.22044672243758115,0.21344492533732526,0.30106222296518953,13.697282212438893,26.271285015702368,28.812496903643417
controlled-harness,challenge,copilot-cli-copilot-route,normalized_wall_time,1600,4.808011720581062,2.0677014570287366,0.051692536425718416,0.4268453523171587,1.4650167873296807,4.638682155778338,8.3644972367461,15.382413986041875
controlled-harness,challenge,copilot-cli-copilot-route,output_tokens_per_task,1600,24062.870009313832,21329.406677208153,533.2351669302038,1029.2461773153145,1768.6442227060077,18604.380701720922,62528.337407651365,68769.69946035912
controlled-harness,challenge,copilot-cli-copilot-route,policy_violation_fraction,1600,0.00125,0.017638933002690975,0.00044097332506727436,0.0,0.0,0.0,0.0,0.25
controlled-harness,challenge,copilot-cli-copilot-route,provider_cost_usd_per_task,1600,13.495025328438915,8.817868897503246,0.22044672243758115,0.21344492533732526,0.30106222296518953,13.697282212438893,26.271285015702368,28.812496903643417
controlled-harness,challenge,copilot-cli-copilot-route,retries_per_task,1600,40.30453125,28.59450422852826,0.7148626057132065,0.75,2.5,41.75,80.26249999999999,95.5
controlled-harness,challenge,copilot-cli-copilot-route,tool_calls_per_task,1600,74.7753125,40.91125747297259,1.0227814368243149,5.75,11.25,78.25,129.5,152.25
controlled-harness,challenge,copilot-cli-copilot-route,tool_result_tokens_per_task,1600,129120.78929307174,75707.47450097959,1892.6868625244897,2221.866045311443,4727.077038604662,148108.04281758747,222825.64146792353,262906.09004899795
controlled-harness,challenge,copilot-cli-copilot-route,tool_schema_tokens_per_task,1600,168650.6196875,182480.29933046037,4562.007483261509,722.5,935.0,116467.0,625812.5,692750.0
controlled-harness,challenge,copilot-cli-copilot-route,uncached_input_tokens_per_task,1600,4696536.6875726255,2965593.89032686,74139.8472581715,84230.4228998767,126227.1987103965,4765960.384087015,8941752.8419997,9515875.020371377
controlled-harness,challenge,copilot-cli-copilot-route,wall_seconds_per_task,1600,1913.050777632926,930.6014824334147,23.26503706083537,38.41608170854428,196.25732350301894,2103.9530490167654,3249.5874594394836,3881.890519167242
